custId,firstName,lastName,email,balance
28995,Veradis,Zuan,vzuan0@msu.edu,5871.97
19019,Rhody,Garrity,rgarrity1@foxnews.com,6315.03
12129,Bernardine,Franke,bfranke2@china.com.cn,4708.83
25902,Jolee,McManamon,jmcmanamon3@cbsnews.com,7833.61
29006,Gibbie,Brasseur,gbrasseur4@shop-pro.jp,12715.91
19445,Matty,Stritton,mstritton5@last.fm,2343.58
21347,Genovera,Schnitter,gschnitter6@senate.gov,9795.25
13466,Dulcine,McArley,dmcarley7@hc360.com,17359.95
23656,Heda,Smalman,hsmalman8@mail.ru,3938.75
24398,Quincy,McConigal,qmcconigal9@tinypic.com,11256.87
28260,Mohandas,Roxburch,mroxburcha@de.vu,2971.06
27002,Olivia,Huxstep,ohuxstepb@guardian.co.uk,9356.19
10627,Charissa,Hinkens,chinkensc@photobucket.com,1471.23
14606,Alyda,Berkelay,aberkelayd@liveinternet.ru,15580.55
22375,Alistair,Bock,abocke@youku.com,16262.25
23354,Patti,Ourtic,pourticf@sitemeter.com,19326.08
22428,Cherry,Stinton,cstintong@theguardian.com,10945.19
23659,Arabelle,Tedman,atedmanh@addtoany.com,14159.28
16916,Ferdie,Ruddle,fruddlei@spotify.com,18307.0
14331,Alie,Aindriu,aaindriuj@fda.gov,408.28
15341,Peggi,Tomaselli,ptomasellik@histats.com,19277.1
26740,Kassey,Arnaud,karnaudl@drupal.org,14032.16
19586,Conney,Loughlin,cloughlinm@xrea.com,15924.29
25395,Denni,Giorgeschi,dgiorgeschin@time.com,5126.93
15094,Cesya,Corpe,ccorpeo@flickr.com,13014.47
21467,Reid,Meadus,rmeadusp@cbsnews.com,14200.59
16633,Galina,Greated,ggreatedq@pbs.org,1663.06
15795,Say,Bruckental,sbruckentalr@reuters.com,157.93
22239,Cecile,Persence,cpersences@vkontakte.ru,7886.49
16727,Traver,Gallyon,tgallyont@youtube.com,7468.94
19588,Othelia,O'Logan,oologanu@so-net.ne.jp,17366.55
23253,Stanwood,Heijnen,sheijnenv@google.com.hk,3217.15
15430,Nevil,Wildin,nwildinw@sciencedaily.com,5698.36
21455,Merle,Kosel,mkoselx@macromedia.com,16007.25
26048,Abram,McLaine,amclainey@typepad.com,3781.08
14821,Bridget,Holdworth,bholdworthz@fastcompany.com,9898.31
18689,Jenna,Wreak,jwreak10@businesswire.com,2771.29
29321,Prisca,Betser,pbetser11@joomla.org,5786.25
12319,Robinet,Helling,rhelling12@newsvine.com,2474.25
22672,Guntar,Egginson,gegginson13@yahoo.co.jp,16495.47
12212,Wendi,Basilio,wbasilio14@narod.ru,2151.57
10059,Vivianne,Michurin,vmichurin15@miitbeian.gov.cn,19131.69
22876,Jessa,McClay,jmcclay16@unc.edu,18015.59
18368,Kaycee,Veryard,kveryard17@list-manage.com,14638.05
17622,Olivette,Syce,osyce18@mayoclinic.com,3896.99
16246,Christoforo,Blazynski,cblazynski19@macromedia.com,455.97
22315,Allin,Caulliere,acaulliere1a@smugmug.com,12151.02
20021,Meris,Getten,mgetten1b@behance.net,15732.35
25753,Cody,Flipek,cflipek1c@quantcast.com,17017.05
26772,Regina,D'Souza,rdsouza1d@sourceforge.net,10157.06
